Gene,Tumor_Mean,Normal_Mean,Log2FC,P_Value,NegLog10_P,Significance
DMD,7.392431449407476,11.19675614035088,-0.5393367454600995,2.7217961349787695e-65,64.56514440696864,Not Significant
NKAPL,2.658293892433911,5.362375438596492,-0.7983945266625587,2.8906706277577036e-65,64.53900139041045,Not Significant
PDE2A,6.834513035551504,10.24223947368421,-0.5210139415596514,3.6511179302124772e-65,64.43757413921861,Not Significant
MESTIT1,1.2253206016408387,4.543683333333333,-1.316831650167784,3.910920213339655e-65,64.40772104399667,Downregulated
PPAP2B,10.063033819507748,12.147767543859649,-0.2490707839331332,4.479511185162845e-65,64.3487693746556,Not Significant
TNS1,11.331992707383774,14.186448245614036,-0.3003785553169286,4.7915052196647e-65,64.3195280344133,Not Significant
MYOM1,4.866057611668185,8.767470175438596,-0.7355937050597385,4.931748325574234e-65,64.30699909420186,Not Significant
C21orf34,4.096442297174111,7.043999122807017,-0.6584224363139619,5.6967828537457055e-65,64.24437033438171,Not Significant
LRRC2,3.1156094804010936,6.500019298245613,-0.865788212697345,6.105494748713028e-65,64.21427913795496,Not Significant
LRRC3B,1.0661372835004557,4.837650877192982,-1.4984518159575648,8.823955143548006e-65,64.05433670829215,Downregulated
CAV2,8.852434184138561,11.837267543859651,-0.38178604051123866,9.364164478886007e-65,64.02853096664936,Not Significant
FMO2,7.3419159525979945,11.743303508771929,-0.6112886411457102,1.00146327430589e-64,63.9993649725399,Not Significant
LOC286367,4.721682771194166,7.409451754385964,-0.5555722363702617,1.0456375485885075e-64,63.980618829738916,Not Significant
ITM2A,8.044531996353694,10.931215789473685,-0.39962330243864785,1.2426208153892659e-64,63.90566137570843,Not Significant
KLHL29,5.875959799453054,9.018433333333334,-0.5430239046312246,1.814162198432899e-64,63.7413238866611,Not Significant
PALMD,8.57750619872379,11.524807894736842,-0.3870665160626325,2.1968651897992036e-64,63.65819659265739,Not Significant
LOC100133920,0.06550875113947129,1.1330096491228072,-1.001348049850261,2.45817629825317e-64,63.60938697311236,Downregulated
UBE2T,8.514755059252508,5.394892105263158,0.5732464991787083,2.4581891605834577e-64,63.609384700686064,Not Significant
ALDH1A2,4.6039071103008204,8.50265,-0.7618968512847321,3.055322208498731e-64,63.514942983131995,Not Significant
PKMYT1,8.251909298085689,3.7170394736842103,0.9718694486062424,3.6460566366973265e-64,63.438176589434725,Not Significant
CACHD1,7.697097174111212,10.307540350877193,-0.3786792854310226,4.049866935034397e-64,63.392559246002534,Not Significant
MYOC,1.1798337283500455,7.088489473684211,-1.8916522099124786,4.3473864121833767e-64,63.361771756353754,Downregulated
SLC35A2,10.093219963536917,8.849856140350877,0.17150362996027993,4.476758645468976e-64,63.3490363190109,Not Significant
CEP68,9.399646946216956,10.707661403508771,-0.17091837570075777,5.290273531469673e-64,63.2765218723624,Not Significant
LIFR,8.993858523245214,11.99284912280702,-0.3786041252853492,5.2903221401931346e-64,63.27651788194427,Not Significant
SH3BGRL2,8.174616681859616,10.489954385964912,-0.32465328252090575,5.302929022959895e-64,63.275484185655934,Not Significant
TNXB,8.271230355515042,12.762889473684211,-0.5699506788085164,6.447720794809723e-64,63.19059377701854,Not Significant
GIPC2,4.21804320875114,7.48884298245614,-0.7020590391945337,6.746330315663743e-64,63.170932398581435,Not Significant
CKS2,9.185730720145852,6.719993859649123,0.39987787725566437,8.065719108283783e-64,63.09335690653452,Not Significant
HLF,6.399607839562442,10.178557017543861,-0.59521325140974,9.688242387936317e-64,63.013755004214055,Not Significant
CORO2B,5.6784444849589795,8.356042105263159,-0.48638623890704213,1.1148075317006217e-63,62.952800105831564,Not Significant
KIAA0101,8.170396991795807,4.625666666666667,0.7049601179990395,1.1281467281629868e-63,62.94763441180003,Not Significant
TTC28,8.661022971741112,10.33326754385965,-0.23031600667444038,1.3011206745982936e-63,62.88568242220727,Not Significant
ABCA9,5.428110209662716,9.83067894736842,-0.7526571153376616,1.397289489532956e-63,62.85471360771391,Not Significant
RAG1AP1,10.763651868732907,8.978223684210526,0.23748107906889443,1.5005260300913708e-63,62.82375646633243,Not Significant
PROS1,8.465587602552416,10.815109649122807,-0.3198690450730425,1.5512886192169594e-63,62.809307393629204,Not Significant
MATN2,8.549320875113947,11.994307894736842,-0.44440975387796916,1.6978244276891969e-63,62.77010722223584,Not Significant
GPRASP1,6.694342844120328,9.172714035087719,-0.4028346154941053,1.7804029502093612e-63,62.74948169474304,Not Significant
C1QTNF9,2.1113208751139467,5.272893859649123,-1.0116039619541204,1.833889243222654e-63,62.73662689686105,Downregulated
PAFAH1B3,10.142062351868734,7.612334210526317,0.3715400835905374,1.8581358202991227e-63,62.73092254445938,Not Significant
KIF4A,8.734230720145852,4.432192105263158,0.8415324694153262,2.0432134110853613e-63,62.68968626948294,Not Significant
LDB2,7.739593163172287,10.045257017543857,-0.3377889623672172,2.2842704384103445e-63,62.64125248056783,Not Significant
ASF1B,8.867446034639928,5.856496491228071,0.5252051426246945,3.0796459123372546e-63,62.511499214395066,Not Significant
NR3C2,6.620218960802188,9.366520175438598,-0.4440273346893673,3.1684929612345936e-63,62.49914725331715,Not Significant
POC1A,7.787167639015497,5.743115789473684,0.38198284638561597,3.508282429132006e-63,62.45490545165826,Not Significant
NUF2,7.954862260711029,4.068305263157894,0.8211678211852098,3.695967598200019e-63,62.432271844807076,Not Significant
HIF3A,2.8797883318140385,7.862678070175437,-1.1917647634989252,4.0757169215393505e-63,62.38979598749257,Downregulated
GPIHBP1,5.111764539653601,9.154971052631579,-0.732525258508646,4.1018445596098067e-63,62.387020801350104,Not Significant
JAM2,6.928330720145853,9.218264035087719,-0.36606107082104067,4.240041898002828e-63,62.37262985190219,Not Significant
PLSCR4,8.304675022789425,10.650133333333333,-0.324318797936691,4.3829264163072597e-63,62.358235820530155,Not Significant
CCNB1,9.801496991795807,7.454857894736842,0.35337885918359774,4.4878897393756917e-63,62.34795782157563,Not Significant
IL33,6.703671467639016,10.611203508771931,-0.5918994320942939,4.4879111195147527e-63,62.34795575261788,Not Significant
IGSF10,5.7389960802187785,9.733939473684211,-0.6715740664305748,4.933462315506054e-63,62.3068481848287,Not Significant
LRRTM2,2.9213244302643573,5.852842982456139,-0.8053616232751175,5.171108864918108e-63,62.28641631913462,Not Significant
SPC25,6.8875303555150404,3.68338947368421,0.7520206339081638,5.271301825660383e-63,62.27808211611933,Not Significant
ABCA8,5.520619416590702,10.611717543859648,-0.8325004610502773,5.416402674384885e-63,62.266289056146654,Not Significant
MYH11,9.330900091157703,13.54246052631579,-0.4933054320679002,6.521425772178288e-63,62.18565744456003,Not Significant
ADRB2,5.166394895168642,8.30536754385965,-0.5936358526326514,7.915664635533406e-63,62.101512613912654,Not Significant
UBE2C,8.989407019143117,4.7953754385964915,0.7854969152144119,8.220555091775064e-63,62.085098855798705,Not Significant
METTL7A,10.166158979033728,12.126172807017545,-0.23331332966671522,8.516949333354496e-63,62.069715936329686,Not Significant
