PC1,PC2,Sample_Type,Cluster
-16.779892253902975,-40.285285194222666,Tumor,0
-59.64292615695132,5.175689001736494,Tumor,1
-62.73223212763436,6.826141930539082,Tumor,1
-29.225961183550822,11.928456173461681,Tumor,1
-11.22411186316764,10.683943266457492,Tumor,1
-24.064365277484555,22.86257544927678,Tumor,1
-38.46462370503323,30.103685868739486,Tumor,1
-85.90151418389651,-52.95567215021963,Tumor,1
41.80037463343008,22.7134491974921,Tumor,0
35.545062015190425,-10.251218120619482,Tumor,0
17.552358094664466,-16.062689120778415,Tumor,0
-18.104210058430905,1.8528290893722952,Tumor,1
-13.389491518236637,-19.829774672416317,Tumor,0
37.436288322991594,3.9655611872945538,Tumor,0
9.770851319720899,3.414447612027369,Tumor,0
16.419598216312362,-13.392873074496723,Tumor,0
3.60621200883133,-6.64011528327602,Tumor,0
3.114402481786989,-12.187701189057925,Tumor,0
4.508776015991371,-20.749511275073697,Tumor,0
0.9472594783160013,-25.518497051123262,Tumor,0
-24.38054512202532,35.05618032834333,Tumor,1
-1.4426770377589824,-43.97002562059206,Tumor,0
0.22313177523159508,-14.096092860008312,Tumor,0
-70.6325603046225,58.627147072242266,Tumor,1
-27.851990372630954,47.94090262404251,Tumor,1
-11.203235296419255,-59.73032677367612,Tumor,0
-18.455339314307736,26.339718553273055,Tumor,1
-88.56747592915181,28.685025253066648,Tumor,1
-16.526482095181365,-19.314246182321746,Tumor,1
-38.381607951262374,13.956516726427186,Tumor,1
-38.459986025514624,-14.527738006197463,Tumor,1
-18.554056388894,-7.070120583020055,Tumor,1
-39.91530433029552,22.596549290063578,Tumor,1
23.748535126386898,31.594525813716643,Tumor,0
-16.39477889154893,26.198457319851375,Tumor,1
-0.6082439948292231,55.55290676364462,Tumor,1
-28.63997821729155,26.21133494648616,Tumor,1
-48.05179307944322,-27.929139375224533,Tumor,1
-102.44817790746559,84.64822912939033,Tumor,1
-32.249996995920476,-29.410444012006554,Tumor,1
-3.663923847356261,-54.95185940266728,Tumor,0
9.05562883314072,-28.518041173195762,Tumor,0
6.474464820818966,14.632391030205904,Tumor,0
-39.078863723610695,-45.91449166564275,Tumor,1
-17.723074168369685,-12.180769488283756,Tumor,1
-81.76641732188288,7.775111099376774,Tumor,1
2.3046144381653915,43.24445413495491,Tumor,0
-80.62386853510374,26.333386511001795,Tumor,1
-52.539439289795524,-20.41970237133448,Tumor,1
-37.03845930949005,35.74479618402385,Tumor,1
10.046855307998607,-50.30232274523035,Tumor,0
-28.039779800871933,-54.677656225151544,Tumor,1
21.583202362100778,-36.77411317242975,Tumor,0
25.225868282825733,26.01794527684541,Tumor,0
22.653363026633922,3.514121052548547,Tumor,0
-5.049593094977926,80.9686002586823,Tumor,1
-25.84394367288635,4.488863671710687,Tumor,1
32.87892408151267,-60.37544163627647,Tumor,0
61.92726066879179,23.941689972688515,Tumor,0
23.212999969634936,-70.51495217459511,Tumor,0
6.941779806297411,-45.36397637018712,Tumor,0
14.225205670054024,-24.22748103013936,Tumor,0
56.10566846429316,25.073457186887506,Tumor,0
10.309449016338295,-3.6894267034070065,Tumor,0
-7.095091853730816,-12.37863539997368,Tumor,0
4.489884207209693,59.346323248392565,Tumor,0
6.262223590274919,-19.06893822561347,Tumor,0
-50.126744159285366,-7.595698552300795,Tumor,1
-28.177548448897067,-2.82868414146756,Tumor,1
21.34976769976908,49.026229748235195,Tumor,0
